时间: 2017/6/19 11:41:41  错误: 不支持关键字: “provider”。
时间: 2017/6/19 12:35:10  错误: 在 ConnectionString 中未指定 OLE DB 提供程序。示例为:“Provider=SQLOLEDB;”。
时间: 2017/6/19 12:49:38  错误: ORA-01036: 非法的变量名/编号

时间: 2017/6/19 12:50:05  错误: ORA-01036: 非法的变量名/编号

时间: 2017/6/19 12:52:04  错误: ORA-01036: 非法的变量名/编号

时间: 2017/6/19 12:53:14  错误: ORA-01036: 非法的变量名/编号

时间: 2017/6/19 13:00:55  错误: ORA-01036: 非法的变量名/编号

时间: 2017/6/19 13:01:09  错误: ORA-01036: 非法的变量名/编号

时间: 2017/6/19 13:01:58  错误: ORA-01036: 非法的变量名/编号

时间: 2017/6/19 13:06:20  错误: ORA-01036: 非法的变量名/编号

时间: 2017/6/19 13:08:44  错误: ORA-01036: 非法的变量名/编号

